checkin,checkout,fuzzy_score,latitude,longitude,scraped_date,Competitive Status,destination,tbo_hotelcode,tbo_hotelname,tbo_chainname,thirdparty,thirdparty_price,tbo_price,price_diff_perc,suppliername,tbo_latitude,tbo_longitude,apw_bucket_new,checkin_day,checkout_day
2026-06-19,2026-06-20,80,12.91447,100.880539,6/15/2026,Losing,Pattaya,6445321,TYCOON PLACE GARDEN,,Otilla,2158,3371.56,-56.23540315,,12.922861,100.881173,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,80,12.9260387,100.87571,6/15/2026,Losing,Pattaya,1386726,Copa Hotel,Independent,Otilla,1283,2499.68,-94.83086516,,12.927541,100.876084,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,80,12.9273825,100.87616,6/15/2026,Losing,Pattaya,1023366,The Ambiance,Independent,Otilla,2407,2488.61,-3.390527628,,12.927382,100.876162,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,80,12.9538975,100.887177,6/15/2026,Losing,Pattaya,1174022,Let s Hyde Pattaya Resort & Villas,Independent,Otilla,2969,2979.55,-0.355338498,,12.954249,100.887467,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,81,12.9088535,100.902351,6/15/2026,Winning,Pattaya,1706519,Retreat Resort Pattaya,Independent,Otilla,1951,1948.62,0.121988724,,12.908854,100.902351,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,81,12.9325466,100.899895,6/15/2026,Winning,Pattaya,1557074,The Park Pattaya,Independent,Otilla,3094,2725.27,11.91758242,,12.93135,100.89901,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,81,12.94932,100.894936,6/15/2026,Losing,Pattaya,1484853,Hotel J Residence,Independent,Otilla,2384,2456.53,-3.042365772,,12.949315,100.894787,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,82,12.9283962,100.884293,6/15/2026,Losing,Pattaya,1386711,18 Coins Cafe & Hostel,Independent,Otilla,1816,1852.15,-1.990638767,,12.928409,100.884439,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,82,12.959959,100.8936,6/15/2026,Winning,Pattaya,1023530,Sawasdee Place Hotel,Independent,Otilla,1944,1722.62,11.38786008,,12.960131,100.893205,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,83,12.92101,100.860657,6/15/2026,Losing,Pattaya,1266887,Mountain Beach Hotel,Independent,Otilla,2328,2413.32,-3.664948454,,12.92101,100.86066,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,83,12.93052,100.883644,6/15/2026,Losing,Pattaya,5013098,Pattaya Central Sea View Pool Suite,Independent,Otilla,4219,5460.14,-29.41787153,,12.931792,100.88109,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,84,12.8823872,100.882477,6/15/2026,Winning,Pattaya,5013041,A2Sea Hotel Pattaya,Independent,Otilla,7972,3073.93,61.44091821,,12.884214,100.88322,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,84,12.9281015,100.885864,6/15/2026,Losing,Pattaya,6481717,Malee Guesthouse & Restaurant,,Otilla,1727,1739.79,-0.74059062,,12.928102,100.885866,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,85,12.8745852,100.888512,6/15/2026,Losing,Pattaya,6461486,Scandia beach hotel,,Otilla,1038,1324.86,-27.63583815,,12.874585,100.888508,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,85,12.9118748,100.869545,6/15/2026,Winning,Pattaya,6490001,Me U Hostel Pattaya,,Otilla,1729,1725.4,0.20821284,,12.911875,100.869545,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,85,12.9210854,100.870346,6/15/2026,Winning,Pattaya,1360944,Signature Pattaya Hotel,Independent,Otilla,4187,4098.83,2.105803678,,12.923354,100.872082,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,86,12.91948,100.8836,6/15/2026,Winning,Pattaya,6674727,Apartment X5,,Otilla,3545,2350.76,33.68801128,,12.915837,100.875172,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,86,12.9252367,100.874146,6/15/2026,Losing,Pattaya,1078021,The Golden Ville Boutique Hotel & Spa,Independent,Otilla,2240,3562.75,-59.05133929,,12.928773,100.879447,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,86,12.9498405,100.895164,6/15/2026,Winning,Pattaya,1620013,J Inspired Hotel Pattaya,Independent,Otilla,5412,5370.88,0.759793052,,12.949841,100.895167,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,87,12.9103022,100.857185,6/15/2026,Winning,Pattaya,1027429,Centara Grand Phratamnak Pattaya,Independent,Otilla,7111,4031.03,43.31275489,,12.90966,100.857692,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,87,12.9272327,100.877174,6/15/2026,Winning,Pattaya,6444538,The Lodge Pattaya,,Otilla,2529,1685.41,33.35666271,,12.930631,100.881292,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,88,12.9200525,100.7855,6/15/2026,Losing,Pattaya,6687289,The Seacret Kohlarn,,Otilla,2826,6566.61,-132.3641189,,12.923352,100.784348,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,88,12.938158,100.888657,6/15/2026,Losing,Pattaya,1226362,The Seasons Pattaya,Independent,Otilla,2810,2827.13,-0.609608541,,12.938158,100.888653,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,88,12.94653,100.8893,6/15/2026,Losing,Pattaya,1692986,Sindy Room & Hostel,,Otilla,2532,2634.08,-4.031595577,,12.94654,100.88937,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,89,12.7770691,100.903969,6/15/2026,Winning,Pattaya,1940370,Oceanphere Pattaya Villa,,Otilla,16110,12098.81,24.89875854,,12.77242,100.907018,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,89,12.93506,100.885536,6/15/2026,Losing,Pattaya,1272063,Highfive Hotel,Independent,Otilla,2447,2985.33,-21.99959134,,12.93506,100.885533,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,90,12.91571,100.783981,6/15/2026,Losing,Pattaya,6464860,Rakchayanin Resort Koh Larn,,Otilla,2813,7469.73,-165.5431923,,12.919842,100.784934,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,90,12.9255209,100.862656,6/15/2026,Losing,Pattaya,1093657,InterContinental Pattaya Resort by IHG,IHG,Otilla,17906,18163.25,-1.436669273,,12.925521,100.862657,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,91,12.8970146,100.87178,6/15/2026,Losing,Pattaya,1023440,LEK Jomtien Hotel,Independent,Otilla,2003,2007.83,-0.241138293,,12.897015,100.871784,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,91,12.95715,100.890541,6/15/2026,Winning,Pattaya,1612239,Blue Boat Hotel JC,Independent,Otilla,2545,2399.69,5.709626719,,12.95715,100.89054,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,92,12.9192,100.870117,6/15/2026,Losing,Pattaya,6487937,2 Bed Room High Floor Sea View Unit,,Otilla,4807,4906.46,-2.069065945,,12.919267,100.870115,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,92,12.927475,100.889679,6/15/2026,Losing,Pattaya,6113593,OYO 458 Nakorn Siam Boutique,OYO Rooms,Otilla,1161,1299.36,-11.91731266,,12.927475,100.889678,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,92,12.9288588,100.884537,6/15/2026,Losing,Pattaya,1692912,D Apartment 2,Independent,Otilla,2485,3170.9,-27.60160966,,12.934329,100.888295,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,93,12.9130764,100.875748,6/15/2026,Winning,Pattaya,5259485,JOOPLAND Luxury Pool Villa Pattaya Walking Street 6 Bedrooms,Independent,Otilla,46393,26249.87,43.4184683,,12.912007,100.875555,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,93,12.9319363,100.883041,6/15/2026,Losing,Pattaya,1078027,Robin s Nest Guesthouse & Restaurant,Independent,Otilla,2538,2890.13,-13.87431048,,12.92938,100.8842,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,93,12.9479132,100.896637,6/15/2026,Losing,Pattaya,1425793,SN Plus Hotel - SHA Plus,Independent,Otilla,3114,3353.85,-7.702312139,,12.947913,100.896634,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,94,12.88559,100.881378,6/15/2026,Losing,Pattaya,6276177,Y.O.K Guest house jomtien,,Otilla,1594,1752.1,-9.918444166,,12.885127,100.880898,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,95,12.917923,100.857117,6/15/2026,Losing,Pattaya,1451881,The Monttra Pattaya,Independent,Otilla,8362,8784.3,-5.050227218,,12.917923,100.857118,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,95,12.9242029,100.788773,6/15/2026,Losing,Pattaya,5147856,Samanta By The Sea - Adults Only,Independent,Otilla,3325,3353.79,-0.865864662,,12.924203,100.788772,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,96,12.8708057,100.889709,6/15/2026,Losing,Pattaya,6200047,Aeras Beach Front Jomtien,,Otilla,26475,26655.16,-0.680491029,,12.870806,100.889711,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,96,12.8937311,100.876595,6/15/2026,Losing,Pattaya,6241462,Frankie s Inn,,Otilla,1856,1869.94,-0.751077586,,12.893731,100.876591,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,96,12.9111748,100.859955,6/15/2026,Losing,Pattaya,1450187,Patamnak Beach Guesthouse,OYO Rooms,Otilla,1585,1588.47,-0.218927445,,12.911175,100.859952,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,96,12.9312449,100.883743,6/15/2026,Losing,Pattaya,1687206,NewStar Hotel,Independent,Otilla,2372,2446.62,-3.145868465,,12.931063,100.883766,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,97,12.8977661,100.872566,6/15/2026,Losing,Pattaya,5013122,Scandia beach hotel,,Otilla,728,1538.63,-111.3502747,,12.897557,100.872552,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,97,12.901144,100.902351,6/15/2026,Losing,Pattaya,1386716,Baan Kaew Ruen Kwan,Independent,Otilla,1499,1587.62,-5.911941294,,12.90153,100.90273,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,97,12.925705,100.872955,6/15/2026,Winning,Pattaya,6530797,Royal BJ Hotel,,Otilla,1952,1946.22,0.296106557,,12.925705,100.872954,< 10 days,Friday,Saturday
2026-06-19,2026-06-20,98,12.8734379,100.88797,6/15/2026,Losing,Pattaya,1453496,Royal Heritage Pavillion,Independent,Otilla,2958,3803.89,-28.59668695,,12.873438,100.887972,< 10 days,Friday,Saturday
